filename,day,group,bagged,fridge_layer,mean_hue,std_hue,mean_saturation,std_saturation,mean_value,std_value,mean_blue,mean_green,mean_red
Day0_Group_1.jpg,0,1,no,OOF,41.380873425104674,4.856289410913998,165.97872299641548,62.68809036543954,77.00413696694534,30.79260813261853,33.07812658311038,77.00413696694534,61.236306865325055
Day0_Group_2.jpg,0,2,yes,OOF,41.97534866443792,5.260987019749066,153.1353140700218,57.2384550793328,79.66008047016388,32.28194949275963,37.821227163745654,79.66008047016388,63.92537936917095
Day0_Group_3.jpg,0,3,no,top,39.75239916396551,3.3048231798828374,164.31184188155808,55.14267301076457,86.24859552119099,28.257065279726387,35.6498347889401,86.24859552119099,70.43008375128898
Day0_Group_4.jpg,0,4,yes,top,42.07347324348207,3.7913695801681673,152.93066074805034,51.46401707279238,82.87914942909985,29.562209936434943,37.925592689171324,82.87914942909985,65.32338439870611
Day0_Group_5.jpg,0,5,no,middle,39.129134066154165,2.898878736721063,174.38247997311288,57.41035803723009,74.5650628213425,29.112176135775048,29.22925143179251,74.5650628213425,61.076277802265835
Day0_Group_6.jpg,0,6,yes,middle,41.332990049470496,5.303166582597867,165.47835195530726,63.66594333673396,75.92329251547129,29.54658579943861,32.30983092877879,75.92329251547129,60.52787888192916
Day0_Group_7.jpg,0,7,no,bottom,40.854952328312834,4.648089018053352,170.93423241674728,59.17657117092883,73.23375569987564,26.860075809493182,28.994022384966147,73.23375569987564,58.115234213071716
Day0_Group_8.jpg,0,8,yes,bottom,39.600305678017186,3.7770058143677034,149.75346898010804,48.844717937930064,80.66829429007056,29.049417644094905,37.76889766804165,80.66829429007056,67.69709953077168
Day10_Group_1.jpg,10,1,no,OOF,40.322727243571244,4.078421704588036,147.8326213430318,65.56443198209494,55.53779642208838,28.3714670915898,28.87981475423506,55.53779642208838,46.74731079338811
Day10_Group_2.jpg,10,2,yes,OOF,39.54939486326681,5.519955910306754,90.63136548410938,51.10741803548225,68.93695260532151,26.330151626784847,46.93972653362897,68.93695260532151,62.802184959349596
Day10_Group_3.jpg,10,3,no,top,41.22900417163075,6.365731431901313,153.84794963808673,72.3546534944779,40.40929852535192,32.32570208454126,22.27799113843407,40.40929852535192,34.76508571819357
Day10_Group_4.jpg,10,4,yes,top,40.31515990648478,4.7157050130689075,165.21945093855686,63.96002637980065,58.045855369180835,33.66462232053581,26.00486074857571,58.045855369180835,48.154722291576824
Day10_Group_5.jpg,10,5,no,middle,41.34560915408673,5.743751011678892,148.31527996327063,66.19030158989248,54.290099161424756,33.37463177235161,28.366257647044975,54.290099161424756,45.77511899763378
Day10_Group_6.jpg,10,6,yes,middle,41.28507510052677,4.807497819035094,157.16872439322879,58.41895249223208,71.80700665871068,32.7914059903196,33.77232492379729,71.80700665871068,58.63397804753833
Day10_Group_7.jpg,10,7,no,bottom,43.057775425877104,6.827842586357907,156.30056023119042,70.36088918335467,45.791494499087406,29.960161492346842,23.72327811295883,45.791494499087406,37.24944864124924
Day10_Group_8.jpg,10,8,yes,bottom,41.139041588107226,4.688958201983852,167.0557897974824,59.91011487637504,68.06681065915679,33.73564001874926,29.896073486554073,68.06681065915679,55.16798460897951
Day1_Group_1.jpg,1,1,no,OOF,41.4864717428994,3.5065317257291215,154.12340414608005,56.99148872210564,69.28262509890283,29.448652433600625,32.46428633641907,69.28262509890283,55.753257719463434
Day1_Group_2.jpg,1,2,yes,OOF,40.945839084803346,3.2570089706592635,147.59190717870933,64.13048445297076,78.94148750363749,29.258697810936706,38.1502374358445,78.94148750363749,64.17663092445149
Day1_Group_3.jpg,1,3,no,top,40.70573500756789,3.834777161026059,164.53352057168843,63.39282889461745,68.05137320331362,34.74212878037422,31.056493883083302,68.05137320331362,55.50854984369954
Day1_Group_4.jpg,1,4,yes,top,42.30770838943293,4.053179792330252,161.84255622025594,68.25087129450714,72.19355951789753,34.358707966380535,32.85909449495476,72.19355951789753,56.838412179488046
Day1_Group_5.jpg,1,5,no,middle,42.090438430766575,4.15080097533806,143.0418090029942,66.00490556994532,71.75036642623301,29.518680628284727,36.46249226759034,71.75036642623301,57.85912240184758
Day1_Group_6.jpg,1,6,yes,middle,40.42197602187732,3.5897298111849714,144.0149494591469,68.47455050510297,77.76007777107982,31.114040014389207,38.99207348151061,77.76007777107982,64.30768539192123
Day1_Group_7.jpg,1,7,no,bottom,42.364960821687795,3.9243737679536763,147.60947003764682,57.47573560425061,66.91233279552166,30.071758089398465,33.66275891535027,66.91233279552166,54.11651003795897
Day1_Group_8.jpg,1,8,yes,bottom,40.79714588476654,3.3121566390425783,147.57416442578474,59.884335906795094,78.21740002160283,31.29690503012366,38.30580219572306,78.21740002160283,64.39622486994178
Day2_Group_1.jpg,2,1,no,OOF,41.40718211915284,4.0330192505418845,150.8112471640961,68.0627736177122,64.74775811785744,31.806568584272316,33.05938633591535,64.74775811785744,53.27365482671285
Day2_Group_2.jpg,2,2,yes,OOF,40.269870043834935,3.9218200962547543,142.54236416117834,73.040059699325,79.14619186709282,29.719034063149657,39.68619006035369,79.14619186709282,65.55111996317693
Day2_Group_3.jpg,2,3,no,top,40.87286552074276,4.361455741958898,169.04860970589897,63.23546512862552,55.62663224884378,36.337040967603706,25.426922284628834,55.62663224884378,45.72589248440898
Day2_Group_4.jpg,2,4,yes,top,41.963641562308986,3.9535243132590923,171.56014556990647,66.74248742153112,65.85256378773519,35.194793067138306,28.69914499075843,65.85256378773519,51.98566912508771
Day2_Group_5.jpg,2,5,no,middle,43.14405439820167,4.178516440099699,153.09047160046808,57.514655377034565,65.9699198645558,28.244783961325567,31.19915507435559,65.9699198645558,51.6365130233435
Day2_Group_6.jpg,2,6,yes,middle,41.69613872235142,3.845955895372423,152.71874657324503,64.23849362844756,75.7021576270732,33.92180217408851,37.542826415925,75.7021576270732,61.473334465093195
Day2_Group_7.jpg,2,7,no,bottom,42.376859169814374,3.795471028897769,142.29576007645514,54.706236986988074,68.48387312085679,27.995708614649633,34.68444754579977,68.48387312085679,55.20219960255457
Day2_Group_8.jpg,2,8,yes,bottom,42.21437022915643,4.419138973882522,158.3755623650129,58.955761271219274,70.47885429580595,32.503277988967746,32.63275322994394,70.47885429580595,56.22612336553531
Day3_Group_1.jpg,3,1,no,OOF,41.24996446284623,5.464770279382098,132.42227701405204,67.84066412284362,63.40678539952807,31.06350251967703,36.38480663911568,63.40678539952807,53.794504792992846
Day3_Group_2.jpg,3,2,yes,OOF,39.939383016804214,4.58242837727749,162.90359119684464,61.186826764413496,80.37418692618739,31.57232999123284,34.99034565476782,80.37418692618739,66.44654635245766
Day3_Group_3.jpg,3,3,no,top,41.01016064706889,5.584230532297589,175.22149682235406,64.21404316862078,53.650145091715295,37.011395825844005,23.69882531718338,53.650145091715295,44.109508843937114
Day3_Group_4.jpg,3,4,yes,top,41.90807684904901,5.220536494740019,151.7538215227407,60.82699016449947,75.93840675780625,34.516057923597295,36.75920200602184,75.93840675780625,61.82985020788384
Day3_Group_5.jpg,3,5,no,middle,43.47639667877989,5.592921625982987,151.87584547081474,58.07987970940908,65.40976851361312,32.35258472858324,32.39003494243987,65.40976851361312,52.03373616303833
Day3_Group_6.jpg,3,6,yes,middle,40.83594173261457,4.620098416731463,147.8384316277755,57.29276597524569,78.61465862525333,32.803343662733994,38.72882040562433,78.61465862525333,65.25662757920946
Day3_Group_7.jpg,3,7,no,bottom,42.75276550311253,5.422079244577149,149.73347144846414,58.28440283915208,66.08798694636444,32.591151156283644,33.16848363412512,66.08798694636444,53.3506891674357
Day3_Group_8.jpg,3,8,yes,bottom,41.662651370082,5.545439587381594,156.10329290729547,60.36300773385244,75.3421911071819,34.29504253358953,35.85918927191033,75.3421911071819,61.470416628265916
Day4_Group_1.jpg,4,1,no,OOF,43.334039742466594,4.554832155193969,101.26212506779025,45.27994234276365,61.5785351744469,25.68311243791622,40.14285873207904,61.5785351744469,52.30704323279518
Day4_Group_2.jpg,4,2,yes,OOF,41.894519298378974,4.155518273065098,128.87530287337754,53.728320582889424,81.1090712358184,30.74554239044114,44.644545428631154,81.1090712358184,67.2867510119534
Day4_Group_3.jpg,4,3,no,top,43.40569036642979,7.555271549051592,147.9238026763537,63.34282577106759,51.21733400240271,35.8194897611204,27.20852789116268,51.21733400240271,42.671733457393124
Day4_Group_4.jpg,4,4,yes,top,42.292953831239906,4.981310297732338,137.28232246550104,54.54750624723816,67.26633240351683,34.57941509842977,35.90489870991972,67.26633240351683,55.81026671502997
Day4_Group_5.jpg,4,5,no,middle,45.396752115598794,5.531156691242573,123.16018717082942,45.22503730813544,64.58116243365593,28.22956932701997,36.64438766282598,64.58116243365593,51.557267012161205
Day4_Group_6.jpg,4,6,yes,middle,42.457728765587035,4.12772360427965,137.93834521552606,54.78727830863048,76.48736215321354,32.43572449018501,40.43056349185157,76.48736215321354,62.34627379776241
Day4_Group_7.jpg,4,7,no,bottom,45.43897037828508,5.719296002638471,132.66285224801774,54.75283422635519,60.98316651442584,28.93740882621963,33.72746006746831,60.98316651442584,48.120423569722206
Day4_Group_8.jpg,4,8,yes,bottom,42.629044949244886,4.867082033893644,144.95172768716526,56.87047900876998,72.01082179932573,31.855129932509183,36.3581897446117,72.01082179932573,58.1022364709532
Day5_Group_1.jpg,5,1,no,OOF,41.13537233372787,3.986387525381499,132.01238384245386,60.56048915307483,58.93964529451762,28.10445252117242,33.40261968319525,58.93964529451762,49.82592422372762
Day5_Group_2.jpg,5,2,yes,OOF,40.87008454437501,4.4967902789029175,128.61734656233077,57.85411159810151,66.86150481469984,26.322732675595375,37.12001598171291,66.86150481469984,57.15324485849641
Day5_Group_3.jpg,5,3,no,top,41.01476299249383,5.2175632847268325,162.65050456704105,67.67135487973425,50.585151599395836,36.23894112698233,25.32618159827808,50.585151599395836,42.66681235723519
Day5_Group_4.jpg,5,4,yes,top,40.97660202716377,4.694079152292829,155.99251759573656,61.79397855295214,68.7939303141373,36.46855778400831,32.88650258033325,68.7939303141373,57.04247993074138
Day5_Group_5.jpg,5,5,no,middle,44.167078906278256,5.240578993731261,141.30422811605186,59.45964060425563,61.059217840199885,31.141956525813423,32.52404171980181,61.059217840199885,48.79923170906209
Day5_Group_6.jpg,5,6,yes,middle,41.544375693987064,4.149448231914271,151.31280714080827,62.13184840385121,73.97595344202591,34.21404745796611,36.6876625966085,73.97595344202591,60.41209663797937
Day5_Group_7.jpg,5,7,no,bottom,44.27104242323011,5.151556443739324,151.63298909396698,63.944616774185725,57.089645748317444,31.749514071906503,29.170667753334158,57.089645748317444,44.838285734033335
Day5_Group_8.jpg,5,8,yes,bottom,41.01981060610324,4.131083983896958,149.5588470677489,60.044009655210594,73.9927916408247,32.791930974738925,36.416942345508225,73.9927916408247,61.15635183186198
Day6_Group_1.jpg,6,1,no,OOF,40.72102764667701,4.972087439585357,128.16383378989406,73.71778938033408,58.32967809718693,28.55043743994721,34.60873846221548,58.32967809718693,49.889713081839886
Day6_Group_2.jpg,6,2,yes,OOF,40.01955578323088,4.748010533633571,141.36010461958784,66.70997036732,62.27503665017409,32.99719454543551,34.30598730571243,62.27503665017409,53.83183817282223
Day6_Group_3.jpg,6,3,no,top,41.114539610436516,6.373106965862318,160.89827128193193,68.21031448058513,49.04145833500534,36.60928184533956,24.865831734897792,49.04145833500534,41.68047407324179
Day6_Group_4.jpg,6,4,yes,top,41.00641237692512,4.891628174352992,155.89064240797666,60.49062085813578,71.36665860470923,37.262011252837844,34.12309048637009,71.36665860470923,59.08680777692824
Day6_Group_5.jpg,6,5,no,middle,44.27008700787198,6.419110063330294,153.59649689282267,63.62188188221175,55.540586694477874,32.54654997641698,28.16310652118734,55.540586694477874,44.1927088819169
Day6_Group_6.jpg,6,6,yes,middle,40.9069639363986,4.882610123004784,147.32990606793314,56.85749778495409,80.12299498089904,33.615689383535845,39.6842626454549,80.12299498089904,66.66148446345186
Day6_Group_7.jpg,6,7,no,bottom,43.64908982109221,6.465288929247238,148.19436586676096,67.89231782552227,55.307584030899164,30.36714685567256,29.142184429378684,55.307584030899164,44.46794143847028
Day6_Group_8.jpg,6,8,yes,bottom,40.814151433465305,4.546646479237438,153.8200469865873,64.51784438622411,70.08042475126125,33.01330227202783,33.62909845655613,70.08042475126125,57.80334779434476
